tenure,msf_with_vat,credit_rating,credit_limit,days_remaining,ooc_tag,area_group,handset_type,dos,total_rev_amt_m0,ob_onnet_call_min_m0,ob_globe_call_min_m0,ob_sun_call_min_m0,ob_oth_call_min_m0,ob_intl_call_min_m0,ib_onnet_call_min_m0,ib_globe_call_min_m0,ib_sun_call_min_m0,ib_oth_call_min_m0,ib_intl_call_min_m0,sms_onnet_m0,sms_offnet_m0,sms_intl_m0,data_vol_mb_m0,total_rev_amt_l3m,ob_onnet_call_min_l3m,ob_globe_call_min_l3m,ob_sun_call_min_l3m,ob_oth_call_min_l3m,ob_intl_call_min_l3m,ib_onnet_call_min_l3m,ib_globe_call_min_l3m,ib_sun_call_min_l3m,ib_oth_call_min_l3m,ib_intl_call_min_l3m,sms_onnet_l3m,sms_offnet_l3m,sms_intl_l3m,data_vol_mb_l3m,sr_count_l3m,bill_amt_m0,bill_amt_m1,bill_amt_m2,paid_amt_m0,paid_amt_m1,paid_amt_m2,payment_l3m,churn_inactive_flag_m1
74.73333333,0,10900,100.0,0,1,NCR,OTHERS,77,0.0,0.0,0.0,0.0,0.0,0.0,5.50866667,0.0,18.043,0.0,0.0,0,0,0,0.0,-32.48,0.0,0.0,0.0,0.0,0.0,-2.58494444,0.0,-13.82944445,-3.98711111,0.0,0.0,0.0,0.0,0.0,2,-102.87,-115.86,-200.31,0.0,0.0,0.0,0,0
57.9,0,10201,100.0,0,1,VIS,FEATUREPHONE NON DATA CBL,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-6.313333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,-6.333333333,0.0,0.0,0,-693.09,-693.09,-712.03,0.0,0.0,0.0,0,0
104.5666667,0,10900,100.0,0,1,NL,SMARTPHONE LTE,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-119.8866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-515.594094,0,40.48,-14.28,-119.18,0.0,200.0,0.0,1,0
98.56666667,0,10201,100.0,0,1,VIS,SMARTPHONE LTE,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.422222223,0.0,0.0,0.0,0.0,0.0,0.6666666667,0.0,0.0,0,-208.64,-208.64,-208.64,0.0,0.0,0.0,0,0
96.6,0,10201,100.0,0,1,VIS,SMARTPHONE LTE,223,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.127777777,0.0,-0.5722222233,0.0,0.0,0.0,0.0,0.0,0.0,0,-208.64,-208.64,-208.64,0.0,0.0,0.0,0,0
76.7,0,10900,100.0,0,1,NCR,SMARTPHONE LTE,19,1.0,0.0,0.0,0.0,0.0,0.0,1.324,0.0,0.0,1.525,0.0,0,1,0,0.0,0.6666666667,0.0,0.0,0.0,0.0,0.0,0.8826666667,0.0,0.0,1.016666667,0.0,0.0,0.6666666667,0.0,0.0,2,-70.02,-70.02,-70.02,0.0,0.0,0.0,0,0
107.8666667,0,10900,100.0,0,1,MIN,SMARTPHONE LTE,0,570.55,1.48333333,0.0,0.0,26.83333334,0.0,0.98333333,1.46666667,0.0,18.35,0.0,0,6,0,2.490167618,190.11,0.4277777767,-0.23888889,0.0,17.88888889,0.0,-12.58333333,-0.77222222,0.0,12.07777778,0.0,-13.66666667,0.3333333333,0.0,0.6467316945,32,522.18,232.31,51.41,550.0,0.0,100.0,2,0
81.63333333,0,10900,100.0,0,1,SL,SMARTPHONE LTE,3,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.003848075867,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002539634705,0,39.97,14.99,744.28,0.0,0.0,744.28,1,0
101.9,0,10900,100.0,0,1,NCR,SMARTPHONE LTE,1,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.0,0.0,0.0,2,-19.99,-19.99,-19.99,0.0,0.0,0.0,0,0
97.26666667,0,10900,100.0,0,1,NCR,SMARTPHONE LTE,13,7.97,0.0,0.0,2.50733333,0.0,0.0,0.0,9.69466667,0.0,0.59616667,0.0,0,7,0,0.0,-45.53666667,0.0,-1.369944443,1.671555553,-1.96888889,0.0,-78.27705555,6.362833337,-0.8379444433,0.3974444467,0.0,0.0,2.333333333,0.0,0.0,0,83.54,23.99,-50.47,83.54,23.99,0.0,2,0
97.23333333,0,10900,200.0,0,1,NL,SMARTPHONE LTE,5,0.0,2.53233333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.02000236511,0.0,1.68822222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666667,0.0,0.0,0.01333491007,4,28.52,28.52,28.52,0.0,0.0,0.0,0,0
87.13333333,0,10900,200.0,0,1,\N,\N,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
87.93333333,0,10900,200.0,0,1,,,1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
93.4,0,10900,200.0,0,1,NCR,FEATUREPHONE NON DATA CBL,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.77,9.77,89.78,0.0,0.0,90.0,1,0
98.5,0,10900,200.0,0,1,,,1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
89.63333333,0,10900,200.0,0,1,NCR,FEATUREPHONE NON DATA CBL,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,-0.6633333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.0,0.0,0.0,4,0.0,1.99,1.99,0.0,1.99,1.99,2,0
90.13333333,0,10900,200.0,0,1,,,1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
86.63333333,0,10900,200.0,0,1,NCR,SMARTPHONE LTE,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95116667,0.0,0,0,0,0.0,-2.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48766667,0.0,0.0,0.0,0.0,0.0,1,18.9,18.9,12.4,0.0,0.0,0.0,0,0
92.36666667,0,10900,200.0,0,1,NCR,SMARTPHONE LTE,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-8.326666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.473259608,1,9.77,89.78,74.79,0.0,90.0,0.0,1,0
86.6,0,10900,200.0,0,1,,,1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-135.48,-135.48,-135.48,0.0,0.0,0.0,0,0
112.2,0,10900,200.0,0,1,,,1646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-432.39,-432.39,-432.39,0.0,0.0,0.0,0,0
91.3,0,10900,200.0,0,1,\N,\N,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
92.66666667,0,10900,200.0,0,1,\N,\N,1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
